,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,0.44333333333333336,0.49677851089684516,0.04,0.19595917942265387,0.08833333333333333,0.28377906116476387,0.14666666666666667,0.3537733109712416,0.2816666666666667,0.4498116889939136,1.0,0.0,1.0,0.0,0.0,0.0
10,5.066666666666666,1.609002451486287,0.44666666666666666,0.6686969085883063,0.9016666666666666,0.8880675024393668,1.635,1.1380282656126528,2.87,1.508785383456953,10.92,0.28331372481167616,3.7733333333333334,0.724768162165591,0.013333333333333334,0.11469767022723543
20,9.556666666666667,2.3058163172483814,0.815,0.9455730185095843,1.7566666666666666,1.2796310232076926,3.1883333333333335,1.5597640491077098,5.34,2.121571744407119,20.656666666666666,0.6341310765308875,4.3566666666666665,0.6502221842484975,0.023333333333333334,0.1509598916563222
30,13.96,2.8050668441233264,1.1883333333333332,1.1163320394139973,2.56,1.563031243023205,4.696666666666666,1.942847280553868,7.833333333333333,2.5144029554194844,30.238333333333333,0.9281867029620489,4.62,0.5344155686354951,0.041666666666666664,0.19982631347136276
40,18.355,3.2304243787259055,1.5316666666666667,1.2297684967324354,3.3666666666666667,1.8236105822119852,6.108333333333333,2.244236445257542,10.238333333333333,2.864995152216183,39.6,1.271482074850713,4.75,0.45552167895721496,0.07666666666666666,0.2660618140374306
50,22.726666666666667,3.6127490302476786,1.8433333333333333,1.390007993582131,4.126666666666667,1.9867785203411288,7.46,2.5321400698486887,12.588333333333333,3.1631519969099746,48.745,1.6114098382058695,4.823333333333333,0.3984832353925176,0.07333333333333333,0.26068286394689655
60,27.061666666666667,4.0382996284189865,2.1333333333333333,1.4985177861992707,4.8566666666666665,2.2292275692615036,8.703333333333333,2.775245734865451,14.885,3.469645755212865,57.64,1.9288338445807074,4.865,0.35134266274773296,0.08333333333333333,0.27638539919628147
70,31.373333333333335,4.358587946673649,2.48,1.568311193609227,5.52,2.399916665219851,9.948333333333334,3.0636030893196504,17.048333333333332,3.8291857997345686,66.37,2.2707781338856816,4.908333333333333,0.2942740597168259,0.10833333333333334,0.3108009366495263
80,35.595,4.5115749282632285,2.755,1.6748059589098656,6.15,2.5359087785906937,11.183333333333334,3.278676901163367,19.073333333333334,4.081007500877967,74.75666666666666,2.6116640076565787,4.921666666666667,0.2686954078919516,0.12166666666666667,0.3269004265657817
90,39.608333333333334,4.777893247958653,3.005,1.7790376612090104,6.845,2.667890864834371,12.323333333333334,3.523084191759007,21.143333333333334,4.448534090636547,82.925,2.9460779012103493,4.9366666666666665,0.2435615368284214,0.12166666666666667,0.3269004265657817
100,43.55,5.066310294484543,3.2933333333333334,1.8566876120901108,7.403333333333333,2.7623641243607895,13.39,3.696561465289961,23.258333333333333,4.8060653229943595,90.895,3.2141315571498605,4.956666666666667,0.20360637405434062,0.145,0.3521008378291658
110,47.465,5.253453625949315,3.525,1.9363302920731251,7.928333333333334,2.8838395509382186,14.515,3.9089352770287715,25.223333333333333,5.067226942706311,98.65666666666667,3.6672590430577534,4.968333333333334,0.17511107586012092,0.17666666666666667,0.3813863599495336
120,51.428333333333335,5.546608323010454,3.725,2.0114774835097387,8.441666666666666,2.977683197088333,15.476666666666667,4.070969035609201,27.028333333333332,5.316721786548136,106.1,4.0476330531970595,4.9816666666666665,0.13415372608400403,0.175,0.37996710383926735
130,55.28333333333333,5.671248147943759,3.915,2.083532657131473,8.918333333333333,3.117958288510109,16.451666666666668,4.252567525102399,28.841666666666665,5.552770829855027,113.41,4.386938947983361,4.985,0.12155245781143313,0.19333333333333333,0.39491208585653
140,58.973333333333336,5.830319221296762,4.088333333333333,2.1518667606419197,9.346666666666666,3.2056963188812664,17.411666666666665,4.39683945831801,30.595,5.796634799605708,120.415,4.68537885341197,4.985,0.12155245781143312,0.215,0.4108223460329318
150,62.52,6.050035812566181,4.256666666666667,2.2107590451144867,9.76,3.2963211817620763,18.338333333333335,4.5855421950105555,32.27,6.050931057834543,127.145,5.080745516161977,4.985,0.12155245781143312,0.23166666666666666,0.42189717019935186
160,66.12,6.2026016047031876,4.415,2.280228424230053,10.131666666666666,3.377029842266056,19.19333333333333,4.671825719732655,33.85,6.327519261132273,133.71,5.3860220323846955,4.991666666666666,0.09090593428863125,0.22,0.4142463035441609
170,69.58333333333333,6.3710063743667815,4.543333333333333,2.306828029038049,10.53,3.5164992061234224,19.94333333333333,4.895929147998592,35.388333333333335,6.548093658123368,139.98833333333334,5.659934972143132,4.99,0.0994987437106615,0.25333333333333335,0.4349201714746671
180,72.915,6.565651148210665,4.66,2.331179958733342,10.905,3.5822676709964965,20.641666666666666,5.031891349736746,36.873333333333335,6.70899561948152,145.995,5.888546085410215,4.991666666666666,0.09090593428863125,0.29,0.45376205218153864
190,76.15,6.66889546076909,4.751666666666667,2.36008415575001,11.223333333333333,3.649217572150068,21.28,5.076901942457958,38.225,6.807425480067082,151.63,6.146524763365618,4.99,0.09949874371066136,0.2783333333333333,0.44817841189518387
200,79.42,6.808347817202059,4.835,2.3974517721948017,11.508333333333333,3.6482777519749736,21.873333333333335,5.246010124105957,39.60166666666667,6.962494564131126,157.23833333333334,6.352547826572335,4.995,0.07053367989832916,0.31833333333333336,0.4658296064251613
210,82.58833333333334,6.999442636540589,4.928333333333334,2.426217334773526,11.75,3.6983104250454693,22.411666666666665,5.3365591806789565,40.925,7.111917814485775,162.60333333333332,6.509172161052599,4.995,0.07053367989832934,0.31333333333333335,0.4638486343146394
220,85.64,7.066616352022141,4.983333333333333,2.4330479284679494,12.006666666666666,3.754102940635591,22.96,5.402320489073799,42.07333333333333,7.26644953804049,167.66333333333333,6.673329170827875,4.995,0.07053367989832934,0.30666666666666664,0.4611097724210831
230,88.62333333333333,7.225749480542174,5.03,2.456779735073265,12.211666666666666,3.804847419922236,23.42,5.484851866732596,43.18,7.511386911438747,172.465,6.957881023223474,4.995,0.07053367989832934,0.31,0.46249324319388985
240,91.55666666666667,7.414633429164847,5.07,2.4735467113708043,12.381666666666666,3.878487319676165,23.828333333333333,5.525896357655972,44.20333333333333,7.625308008351021,177.04,7.005121935650613,4.995,0.07053367989832916,0.33,0.4702127178203509
250,94.485,7.477952594126288,5.1066666666666665,2.473584892867482,12.446666666666667,3.8889358727320555,24.218333333333334,5.662213691559943,45.16166666666667,7.789877869531863,181.41833333333332,7.10961770342745,4.99,0.09949874371066209,0.3466666666666667,0.475908487935327
260,97.28333333333333,7.550919737945097,5.168333333333333,2.4657650379187044,12.588333333333333,3.874127500339771,24.496666666666666,5.7172244625828466,46.10333333333333,7.963624942337643,185.64,7.371141928719961,4.993333333333333,0.08137703743822401,0.37833333333333335,0.48497136227020804
270,100.05666666666667,7.635451671133949,5.215,2.4749629626858436,12.706666666666667,3.9404681053002957,24.76,5.831157689515861,46.85,8.175828194541925,189.58833333333334,7.6257587964885385,4.991666666666666,0.09090593428863057,0.37,0.48280430818293135
280,102.79333333333334,7.600698798283102,5.2316666666666665,2.4599452342594037,12.803333333333333,4.00724205519069,24.99,5.909588254128481,47.541666666666664,8.253176997711586,193.36,7.822003153498049,4.991666666666666,0.09090593428863057,0.39666666666666667,0.489205705426892
290,105.43833333333333,7.861691753192957,5.206666666666667,2.4462124919057104,12.91,4.044160399061014,25.245,6.029785098437038,48.29,8.423928220650195,197.09,8.080546598673465,4.993333333333333,0.08137703743822461,0.405,0.4908920451586057
300,107.99,7.964079775257569,5.17,2.4367533044333065,12.963333333333333,4.0039966144951835,25.401666666666667,6.080597329941286,49.005,8.583218607647526,200.53,8.070260218852917,4.991666666666666,0.0909059342886309,0.38,0.48538644398046404
310,110.54833333333333,8.044728950616603,5.181666666666667,2.4742670070593045,12.921666666666667,4.0127543186971,25.548333333333332,6.104724718518339,49.66,8.705997932460118,203.86,8.156412610128712,4.99,0.09949874371066227,0.405,0.4908920451586058
320,112.89333333333333,8.104234832618209,5.18,2.476072158345417,12.963333333333333,4.059801582453123,25.68166666666667,6.140873761571357,50.181666666666665,8.865776741054457,206.9,8.25893455598239,4.988333333333333,0.10738042445229681,0.4266666666666667,0.4945929864264362
330,115.25166666666667,8.315347089702408,5.165,2.4841715587562256,12.96,4.097365006928226,25.846666666666668,6.195145052557055,50.64,8.993538421185137,209.86333333333334,8.45998358285772,4.988333333333333,0.10738042445229681,0.4683333333333333,0.49899621463716853
340,117.48333333333333,8.325846636962646,5.133333333333334,2.5024432505497938,12.931666666666667,4.144514111717105,25.845,6.255742028994911,50.986666666666665,9.194010127372175,212.38,8.544136390921357,4.988333333333333,0.10738042445229681,0.44666666666666666,0.49714741833339054
350,119.65666666666667,8.317178340973316,5.088333333333333,2.507428408194782,12.891666666666667,4.138026569379286,25.845,6.283388814962831,51.388333333333335,9.384607817532315,214.87,8.706306143633286,4.988333333333333,0.10738042445229681,0.485,0.49977494935220607
360,121.78333333333333,8.31142119148237,5.025,2.4814730168457086,12.843333333333334,4.169986677303526,25.871666666666666,6.331287169464217,51.72666666666667,9.468471658908605,217.25,8.801372998951168,4.988333333333333,0.10738042445229681,0.485,0.4997749493522062
370,123.835,8.30127148895477,4.963333333333333,2.479648272549065,12.778333333333334,4.146789588210244,25.871666666666666,6.3868508585130535,52.04333333333334,9.631620955074084,219.49166666666667,8.973847032101439,4.988333333333333,0.10738042445229681,0.49333333333333335,0.49995555358007243
380,125.875,8.245364859523601,4.913333333333333,2.459503111515728,12.673333333333334,4.168927386697394,25.74,6.382716245194256,52.26,9.727918585185632,221.46166666666667,8.924602543282004,4.988333333333333,0.10738042445229681,0.5,0.5
390,127.89166666666667,8.337061665972147,4.876666666666667,2.4694376327865086,12.59,4.143496912834216,25.576666666666668,6.390158231391636,52.32666666666667,9.786042214410388,223.26166666666666,9.072294668690809,4.988333333333333,0.10738042445229681,0.5033333333333333,0.4999888887654317
400,129.66666666666666,8.256647153792047,4.795,2.4453305843314284,12.483333333333333,4.133165319165877,25.47,6.360746811499413,52.50833333333333,9.765240936892221,224.92333333333335,9.027040243377423,4.986666666666666,0.11469767022723523,0.53,0.49909918853871227
410,131.53333333333333,8.363345954554049,4.715,2.403561593413687,12.405,4.134526373520108,25.31833333333333,6.408093623605141,52.553333333333335,9.907092857588868,226.525,9.077410148274677,4.983333333333333,0.12801909579780976,0.5133333333333333,0.4998221906060425
420,133.39166666666668,8.475942261614469,4.66,2.382099913941476,12.298333333333334,4.163651909348598,25.218333333333334,6.450374450801719,52.56333333333333,9.94816510160989,228.13166666666666,9.139894085211774,4.983333333333333,0.1280190957978102,0.5366666666666666,0.4986537431480458
430,135.15333333333334,8.469739599827664,4.568333333333333,2.3349512248058235,12.14,4.179361992776726,25.023333333333333,6.498675933518218,52.568333333333335,10.03769548031597,229.45333333333335,9.16503258162361,4.9816666666666665,0.13415372608400483,0.55,0.49749371855330876
440,136.83833333333334,8.474601105001277,4.475,2.3128715917663953,11.983333333333333,4.166099961461426,24.855,6.497228255186973,52.571666666666665,10.1519225053955,230.72333333333333,9.268231882199661,4.9816666666666665,0.13415372608400483,0.5333333333333333,0.49888765156985887
450,138.47833333333332,8.507028303441537,4.385,2.3238133172295243,11.83,4.161862563804817,24.581666666666667,6.527378025584924,52.53666666666667,10.231421645543149,231.81166666666667,9.322349340280176,4.9816666666666665,0.13415372608400483,0.5683333333333334,0.4953085458131691
460,139.995,8.544489939916447,4.341666666666667,2.3133519451700875,11.663333333333334,4.1452770983641365,24.336666666666666,6.524568099797016,52.391666666666666,10.349634319895339,232.72833333333332,9.468255588485604,4.9816666666666665,0.13415372608400483,0.5833333333333334,0.4930066485916347
470,141.66666666666666,8.526755277100177,4.286666666666667,2.307485403830085,11.523333333333333,4.138774644209997,24.111666666666668,6.481964508456433,52.306666666666665,10.477720277914576,233.895,9.534007988948476,4.98,0.1400000000000004,0.56,0.49638694583963433
480,143.15666666666667,8.457075275899001,4.216666666666667,2.270768347693986,11.326666666666666,4.093485339197178,23.905,6.430601967675083,52.11333333333334,10.606624764216413,234.71833333333333,9.48818548980198,4.976666666666667,0.15095989165632262,0.59,0.4918333050943172
490,144.79833333333335,8.455826229424433,4.148333333333333,2.2538109700879696,11.185,4.051432874099405,23.658333333333335,6.481121087864006,51.906666666666666,10.710958044088414,235.69666666666666,9.700411789655593,4.975,0.15612494995995965,0.5583333333333333,0.49658556384798613
500,146.26166666666666,8.532283626842753,4.108333333333333,2.242007409047127,10.998333333333333,4.0085322195980275,23.39666666666667,6.410355337698178,51.77333333333333,10.811041680718008,236.53833333333333,9.681521775469442,4.975,0.15612494995995946,0.5833333333333334,0.49300664859163473
510,147.57166666666666,8.512433879658369,4.01,2.1946677804776495,10.841666666666667,3.990814105194856,23.131666666666668,6.361157957129793,51.565,10.900570703713939,237.12,9.753235360638026,4.973333333333334,0.16110727964792707,0.6,0.48989794855663443
520,149.00166666666667,8.490092101319563,3.9516666666666667,2.1854055052145873,10.67,3.947290209751491,22.835,6.355399934963443,51.24666666666667,10.93034715317354,237.705,9.838596190514172,4.971666666666667,0.16592334240713613,0.635,0.4814301610825814
530,150.40333333333334,8.391701588805189,3.8933333333333335,2.1498733812844795,10.485,3.964817145846701,22.481666666666666,6.260431073194736,50.81166666666667,10.891565416514844,238.075,9.73683940848705,4.97,0.17058722109231933,0.6233333333333333,0.4845501923319094
540,151.73666666666668,8.339303861167862,3.8183333333333334,2.1529817824485984,10.261666666666667,3.926388996973623,22.135,6.192746428954876,50.46,10.897785707809334,238.41166666666666,9.575778326358416,4.966666666666667,0.17950549357115053,0.6283333333333333,0.48324999281485415
550,152.94166666666666,8.341358635671343,3.736666666666667,2.1495710166346185,10.048333333333334,3.875048028376188,21.81833333333333,6.178079304192274,50.05833333333333,10.915963717825782,238.60333333333332,9.620775552013576,4.965,0.1837797594948916,0.6716666666666666,0.4696068095285199
560,154.17833333333334,8.377939119430774,3.6666666666666665,2.101322334996599,9.845,3.8311410397774024,21.531666666666666,6.184577368116777,49.70166666666667,11.045179818464804,238.92333333333335,9.71120258029641,4.965,0.1837797594948916,0.6466666666666666,0.47800511387315603
570,155.33833333333334,8.349482851583618,3.575,2.0746987733162605,9.66,3.7825564547450377,21.141666666666666,6.1012236932893655,49.29,11.134147175843028,239.005,9.537031770944246,4.961666666666667,0.19199971064793075,0.655,0.4753682782853704
580,156.47166666666666,8.333218499208787,3.493333333333333,2.035507034841421,9.466666666666667,3.712441544620231,20.81,6.038534590444936,48.93333333333333,11.1496885855864,239.175,9.446041940057933,4.96,0.19595917942265395,0.64,0.47999999999999976
590,157.52166666666668,8.326035304326355,3.421666666666667,2.020032315473087,9.251666666666667,3.692559711395644,20.42,5.976922284922239,48.54666666666667,11.155767815599056,239.16166666666666,9.389117666509224,4.955,0.20730412441627827,0.6883333333333334,0.4631744331842552
600,158.58666666666667,8.357181874824128,3.35,2.0035385363567784,9.058333333333334,3.7024672704682873,20.055,5.965901021639567,48.16,11.197368738532573,239.21,9.364608908011054,4.951666666666667,0.2144696300696714,0.6833333333333333,0.46517619123176235
610,159.73166666666665,8.287922772859863,3.2583333333333333,1.988700720459357,8.888333333333334,3.643148439956248,19.721666666666668,5.9400502710181025,47.655,11.192079416563603,239.255,9.428678327316081,4.951666666666667,0.2144696300696714,0.6783333333333333,0.46711585524602084
620,160.70666666666668,8.21283277695475,3.1766666666666667,1.977908547487022,8.73,3.6258929934569317,19.348333333333333,5.925115798212078,47.141666666666666,11.249811726819646,239.10333333333332,9.471148586922052,4.948333333333333,0.22135316176242403,0.6866666666666666,0.4638486343146394
630,161.78166666666667,8.139246313729274,3.111666666666667,1.9661800245371417,8.561666666666667,3.5617688333498285,19.0,5.875088651813406,46.61833333333333,11.241411412965705,239.07333333333332,9.573119774776778,4.943333333333333,0.23120457511813064,0.6733333333333333,0.46899419565230677
640,162.75166666666667,8.097118657618616,3.0233333333333334,1.9138413959596816,8.388333333333334,3.479587699075229,18.66,5.8669469630009985,46.01833333333333,11.24787374968661,238.84166666666667,9.505959388135889,4.9383333333333335,0.24054914027884075,0.68,0.46647615158762584
650,163.69,8.11339838374361,2.9183333333333334,1.8969266078463771,8.176666666666666,3.4504283147973873,18.235,5.793942957951864,45.4,11.192705958197367,238.42,9.444059861450828,4.931666666666667,0.2523170404251149,0.6933333333333334,0.46110977242108325
660,164.66,8.06480419270466,2.8316666666666666,1.865475066095019,7.963333333333333,3.3909667582498595,17.908333333333335,5.785896406108753,44.84166666666667,11.177504069434383,238.205,9.482069482273728,4.921666666666667,0.2686954078919516,0.72,0.4489988864128739
670,165.58166666666668,8.11069235981464,2.7516666666666665,1.8511250332943268,7.738333333333333,3.3406382457382136,17.545,5.724914118715376,44.21333333333333,11.238823584145955,237.83,9.443574535100572,4.911666666666667,0.28377906116476387,0.6983333333333334,0.4589813600669291
680,166.55,8.022312634147339,2.6633333333333336,1.8083110597706635,7.55,3.284940385050132,17.206666666666667,5.675146596246557,43.62166666666667,11.199934399609473,237.59166666666667,9.45577057791813,4.906666666666666,0.2908989897236193,0.69,0.4624932431938901
690,167.455,7.968352506426077,2.58,1.776776106698119,7.38,3.2432905101660765,16.85333333333333,5.643741863535421,43.086666666666666,11.23013010709236,237.355,9.46567351011009,4.898333333333333,0.3022094564297333,0.73,0.44395945760846284
700,168.35,7.8740607905535835,2.5116666666666667,1.7281581396259924,7.216666666666667,3.162233739340307,16.508333333333333,5.551269874742377,42.55,11.246369784660876,237.13666666666666,9.346014599222974,4.886666666666667,0.3169998247458344,0.7133333333333334,0.45220447685630866
710,169.15333333333334,7.8856296866867615,2.4516666666666667,1.707141047352428,7.045,3.1293729403827846,16.143333333333334,5.454000570427381,41.94166666666667,11.279402934355856,236.735,9.353507809016543,4.883333333333334,0.321022671404303,0.7516666666666667,0.4320461652287757
720,169.98166666666665,7.848226799022108,2.38,1.6878783526466892,6.843333333333334,3.1137526484220883,15.795,5.350355907164802,41.36666666666667,11.285782599753064,236.36666666666667,9.288284137677005,4.871666666666667,0.33446059392533745,0.725,0.44651427748729566
730,170.80833333333334,7.7613313219375515,2.296666666666667,1.6579069803687883,6.678333333333334,3.092711413774148,15.425,5.309523676062359,40.776666666666664,11.21606536278308,235.985,9.21709146097618,4.855,0.35210083782916635,0.71,0.4537620521815387
740,171.51833333333335,7.714898825576963,2.2266666666666666,1.6130578277159062,6.456666666666667,2.9991313557243395,15.058333333333334,5.2001535767919655,40.06666666666667,11.166865669868551,235.32666666666665,9.099264927576414,4.85,0.35707142142714193,0.7533333333333333,0.43107101760872446
750,172.29166666666666,7.669415268164549,2.151666666666667,1.5922721361487018,6.281666666666666,2.9488411094680753,14.711666666666666,5.144433615299381,39.38333333333333,11.110343029007804,234.82,9.050834215695255,4.836666666666667,0.36966952208094644,0.7533333333333333,0.43107101760872446
760,172.98833333333334,7.594396874597016,2.0733333333333333,1.560327600929438,6.11,2.9111108990670007,14.341666666666667,5.054529047190141,38.76166666666666,11.074062664121467,234.275,9.096118677765814,4.825,0.37996710383926746,0.7966666666666666,0.4024784328245315
770,173.745,7.4866531240601715,2.026666666666667,1.5262008022828708,5.928333333333334,2.877475262949948,14.001666666666667,4.982134471176868,38.123333333333335,11.027304999661318,233.825,8.9917207289076,4.818333333333333,0.3855695642667978,0.7683333333333333,0.421897170199352
780,174.40166666666667,7.428570783730159,1.95,1.4620191517213474,5.75,2.842094298224463,13.668333333333333,4.970076849394672,37.498333333333335,11.017561612665892,233.26833333333335,8.936423439435327,4.815,0.38829756630708034,0.7666666666666667,0.4229525846816492
790,175.08333333333334,7.441307382144313,1.8816666666666666,1.4506310887181306,5.585,2.807628002424824,13.331666666666667,4.8749356121103995,36.85333333333333,10.988258379844472,232.735,8.869316490012071,4.796666666666667,0.40247843282452933,0.75,0.4330127018922193
800,175.71333333333334,7.407731696605173,1.8183333333333334,1.4184488789597687,5.421666666666667,2.754486743882103,12.991666666666667,4.829934149539606,36.23166666666667,10.937610824835364,232.17666666666668,8.783628078546021,4.791666666666667,0.41019981580796394,0.76,0.42708313008125065
810,176.40166666666667,7.366161181752406,1.7383333333333333,1.377145800398617,5.2283333333333335,2.700530297717262,12.693333333333333,4.775558140736595,35.525,10.872106894863276,231.58666666666667,8.742948905006571,4.781666666666666,0.42110634708533295,0.77,0.4208325082500147
820,177.025,7.336964063334824,1.6733333333333333,1.3478212871973148,5.0633333333333335,2.6215750142911305,12.381666666666666,4.723628254730556,34.95666666666666,10.882009107799083,231.1,8.735941086492446,4.77,0.428680144941033,0.8066666666666666,0.39491208585653
830,177.59833333333333,7.252838333293338,1.6083333333333334,1.318432360376854,4.931666666666667,2.586567330566819,12.076666666666666,4.683387900037983,34.39833333333333,10.901207756737586,230.61333333333334,8.74798008431407,4.753333333333333,0.4387355569006094,0.8283333333333334,0.37709046954573416
840,178.24166666666667,7.183077141603193,1.56,1.307567716538353,4.805,2.570403664796641,11.743333333333334,4.569914903170765,33.81166666666667,10.831721803214032,230.16166666666666,8.625284375344132,4.74,0.44988887516807946,0.78,0.4142463035441608
850,178.82333333333332,7.104608050804456,1.5116666666666667,1.3050659838576093,4.685,2.527009101685231,11.473333333333333,4.543415259716231,33.225,10.718257398787681,229.71833333333333,8.433208003021285,4.726666666666667,0.4567518168789523,0.8133333333333334,0.38964371189873287
860,179.37833333333333,7.057043565749672,1.4716666666666667,1.2790089479315194,4.54,2.485638750904885,11.19,4.454649256675543,32.595,10.660252107713024,229.175,8.413543149787328,4.716666666666667,0.4615794141375432,0.8183333333333334,0.38556956426679806
870,179.93666666666667,7.033680086239029,1.4383333333333332,1.2778356267098305,4.398333333333333,2.4364586094484726,10.911666666666667,4.420467232720491,31.998333333333335,10.60117904868237,228.68333333333334,8.394028962436469,4.71,0.46465040621955933,0.8083333333333333,0.3936121892873174
880,180.52166666666668,6.9971087282931,1.3983333333333334,1.2621399376543883,4.238333333333333,2.3961491096247647,10.633333333333333,4.393429437492109,31.351666666666667,10.458712343729937,228.14333333333335,8.271202384713403,4.701666666666667,0.46832740209767465,0.8183333333333334,0.3855695642667983
890,180.99666666666667,6.907965611443704,1.36,1.2235467570414558,4.116666666666666,2.378316397977546,10.356666666666667,4.315799140625314,30.731666666666666,10.385229762611047,227.56166666666667,8.129546762000667,4.698333333333333,0.47328344807548706,0.8283333333333334,0.37709046954573416
